AR07E,64PE20050907,PELAGIA,2005-09-07 to 2005-10-05,C. Veth,NTH,NIOZ,AR07E05
AR07W,18HU20020623,HUDSON,2002-06-23 to 2002-07-19,Igor Yashayaev,CAN,BIO,AR07W02A
AR07W,18HU200307_1,HUDSON,2003-07-13 to 2003-08-04,R. Allyn Clarke,CAN,BIO,AR07W03
AR07W,18HU2004016,HUDSON,2004-05-15 to 2004-05-30,Igor Yashayaev,CAN,BIO,AR07W04A
AR07W,18HU2004019,HUDSON,2004-05-15 to 2004-05-30,Igor Yashayaev,CAN,BIO,AR07W04B
AR07W,18HU20050526,HUDSON,2005-05-26 to 2005-06-07,Glen Harrison,CAN,BIO,AR07W05
AR07W,18HU2006019,HUDSON,2006-05-24 to 2006-06-08,Igor Yashayaev,CAN,BIO,AR07W06
AR07W,18HU20080520,HUDSON,2008-05-20 to 2008-06-04,Igor Yashayaev,CAN,BIO,AR07W08
AR07W,18HU20100513,HUDSON,2010-05-13 to 2010-05-30,Igor Yashayaev,CAN,BIO,AR07W10
AR18,34AR10_1,ARANDA,1993-08-23 to 1993-09-24,J. Launiainen,FIN,FIMR,AR18_93
AR18,58JH19941029,JOHAN HJORT,1994-10-29 to 1994-11-23,Blindheim & Rey,NOR,IMRU Bergen,AR18_94
AR28,74CH19750501,Challenger,1975-05-01 to 1975-05-06,N. P. Holliday,UK,NOC,AR28_75A
AR28,74CH19750704,Challenger,1975-07-04 to 1975-07-10,N. P. Holliday,UK,NOC,AR28_75B
AR28,74CH19751107,Challenger,1975-11-07 to 1975-11-12,N. P. Holliday,UK,NOC,AR28_75C
AR28,74CH19760329,Challenger,1976-03-29 to 1976-04-05,N. P. Holliday,UK,NOC,AR28_76A
AR28,74CH19760519,Challenger,1976-05-19 to 1976-06-01,N. P. Holliday,UK,NOC,AR28_76B
AR28,74CH19770225,Challenger,1977-02-25 to 1977-03-11,N. P. Holliday,UK,NOC,AR28_77A
AR28,74CH19770414,Challenger,1977-04-14 to 1977-04-19,N. P. Holliday,UK,NOC,AR28_77B
AR28,74CH19770820,Challenger,1977-08-20 to 1977-09-03,N. P. Holliday,UK,NOC,AR28_77C
AR28,74CH19780411,Challenger,1978-04-11 to 1978-04-21,N. P. Holliday,UK,NOC,AR28_78A
AR28,74CH19780531,Challenger,1978-05-31 to 1978-06-10,N. P. Holliday,UK,NOC,AR28_78B
AR28,74CH19780711,Challenger,1978-07-11 to 1978-09-17,N. P. Holliday,UK,NOC,AR28_78C
AR28,74CH19781104,Challenger,1978-11-04 to 1978-11-11,N. P. Holliday,UK,NOC,AR28_78D
AR28,74CH19790510,Challenger,1979-05-10 to 1979-05-23,N. P. Holliday,UK,NOC,AR28_79A
AR28,74CH19790911,Challenger,1979-09-11 to 1979-09-16,N. P. Holliday,UK,NOC,AR28_79B
AR28,74CH19791028,Challenger,1979-10-28 to 1979-11-11,N. P. Holliday,UK,NOC,AR28_79C
AR28,74CH19800421,Challenger,1980-04-21 to 1980-05-06,N. P. Holliday,UK,NOC,AR28_80
AR28,74CH19810126,Challenger,1981-01-26 to 1981-02-04,N. P. Holliday,UK,NOC,AR28_81A
AR28,74CH19810406,Challenger,1981-04-06 to 1981-04-15,N. P. Holliday,UK,NOC,AR28_81B
