A05,29HE06_1,HESPERIDES,1992-07-14 to 1992-08-15,Gregorio Parrilla,SPN
A05,74DI20040404,DISCOVERY,2004-04-04 to 2004-05-10,Stuart Cunningham,UK
A05,74DI20100106,DISCOVERY,2010-01-06 to 2010-02-18,Brian A. King,UK
AR06/AR16,07AL692_1,VON HUMBOLDT,1992-09-02 to 1992-09-26,Eberhard Hagen,GER
AR10,32OC254_2,OCEANUS,1992-09-21 to 1992-10-21,James R. Ledwell,USA
AR21,3175MB91_2,MALCOLM BALDRIGE,1991-08-13 to 1991-09-02,Alex Pszenny,USA
AR21,3175MB91,MALCOLM BALDRIGE,1991-07-11 to 1991-08-05,Donald K. Atwood,USA
AR26,06PO202_1,POSEIDON,1994-09-01 to 1994-09-14,Thomas J. Mueller,GER
AR26,06PO212_1,POSEIDON,1995-09-12 to 1995-10-29,Thomas J. Mueller,GER
ARS01,33H420071020,Atlantic Explorer,2007-10-20 to 2007-11-01,Steve Bell,BM,ARS01_07
ARS01,33H420071211,Atlantic Explorer,2007-12-11 to 2007-12-15,Steve Bell,BM
ARS01,33H420081015,Atlantic Explorer,2008-10-15 to 2008-10-29,Steve Bell,BM
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM
ARS01,33H420090222,Atlantic Explorer,2009-02-22 to 2009-02-23,Steve Bell,BM
ARS01,33H420090223,Atlantic Explorer,2009-02-23 to 2009-02-23,Steve Bell,BM
ARS01,33H420090304,Atlantic Explorer,2009-03-04 to 2009-03-05,Steve Bell,BM
ARS01,33H420090305,Atlantic Explorer,2009-03-05 to 2009-03-07,Steve Bell,BM
ARS01,33H420090316,Atlantic Explorer,2009-03-16 to 2009-03-16,Steve Bell,BM
ARS01,33H420090317,,2009-03-17 to 2009-03-20,,BM
ARS01,33H420090331,Atlantic Explorer,2009-03-31 to 2009-03-31,Steve Bell,BM
ARS01,33H420090412,Atlantic Explorer,2009-04-12 to 2009-04-12,Steve Bell,BM
ARS01,33H420090414,Atlantic Explorer,2009-04-14 to 2009-04-15,Steve Bell,BM
ARS01,33H420090505,,2009-05-05 to 2009-05-06,L. Jackman,BM
ARS01,33H420090506,Atlantic Explorer,2009-05-06 to 2009-05-06,Steve Bell,BM
ARS01,33H420090514,Atlantic Explorer,2009-05-14 to 2009-05-15,Steve Bell,BM
ARS01,33H420090602,Atlantic Explorer,2009-06-02 to 2009-06-02,Steve Bell,BM
ARS01,33H420090609,Atlantic Explorer,2009-06-09 to 2009-06-10,Steve Bell,BM
ARS01,33H420090703,Atlantic Explorer,2009-07-03 to 2009-07-04,Steve Bell,BM
ARS01,33H420090713,Atlantic Explorer,2009-07-13 to 2009-07-14,Steve Bell,BM
ARS01,33H420090714,Atlantic Explorer,2009-07-14 to 2009-07-19,Steve Bell,BM
ARS01,33H420090803,,2009-08-03 to 2009-08-03,M. Lomas,BM
ARS01,33H420090813,,2009-08-13 to 2009-08-13,L. Jackman, H. Drost, S. Grim, D. Ryan, N. McDonald, M. Tiahlo,BM
ARS01,33H420090825,,2009-08-25 to 2009-08-06,Steve Bell,BM
ARS01,33H420090909,,2009-09-09 to 2009-09-09,M. Tiahlo,BM
ARS01,33H420090910,,2009-09-10 to 2009-09-15,A. McDonnel, M. Tiahlo, Steve Bell,  Shi, K. Lew, N. McDonald,BM
ARS01,33H420091008,,2009-10-08 to 2009-10-08,Steve Bell, D. Bell, N. McDonald, K. Lew, L. Jackman,BM
ARS01,33H420091018,,2009-10-18 to 2009-10-18,M. Tiahlo,BM
ARS01,33H420091030,,2009-10-30 to 2009-10-30,Steve Bell,BM
ARS01,33H420091106,,2009-11-06 to 2009-11-10,M. Tiahlo, Steve Bell, K. Lew, L. Jackman,BM
ARS01,33H420091124,,2009-11-24 to 2009-11-24,M. Tiahlo,BM
ARS01,33H420091207,,2009-12-07 to 2009-12-07,D. Bell, C. Ahearn, L. Jackman, S. Fawcett, N. McDonald, K. Lew, B. Ward, Steve Bell,BM
ARS01,33H420091215,,2009-12-15 to 2009-12-16,,BM
ARS01,33H420100202,Atlantic Explorer,2010-02-02 to 2010-02-02,Steve Bell,BM
,Preliminary (See data history),,,,
ARS01,33H420100222,,2010-02-22 to 2010-02-26,M. Tiahlo, Steve Bell, N. McDonald,BM
ARS01,33H420100308,,2010-03-08 to 2010-03-10, Evans,BM
ARS01,33H420100323,,2010-03-23 to 2010-03-23,L. Jackman, D. Bell, B. Hopkinson, N. McDonald, K. Lew, S. Grim, G. Fuentes, Steve Bell,BM
ARS01,33H420100406,,2010-04-06 to 2010-04-06,Steve Bell,BM
ARS01,33H420100420,,2010-04-20 to 2010-04-20,N. McDonald, Rod Johnson, D. Bell,  Evans,  Whitefield, K. Mackey,  Martiny,BM
ARS01,33H420100503,,2010-05-03 to 2010-05-03, Evans,BM
ARS01,33H420100512,Atlantic Explorer,2010-05-12 to 2010-05-12,Steve Pike, Rod Johnson,  Evans, K. Lew, N. McDonald,  Martiny, M. Lomas,  Casey,BM
ARS01,33H420100621,Atlantic Explorer,2010-06-21 to 2010-06-26,Steve Pike, Rod Johnson,  Evans, J. Valdes, Samuel Dresner,  Casey, K. Lew, N. McDonald,BM
ARS01,33H420100624,Atlantic Explorer,2010-06-24 to 2010-06-24,Rod Johnson,BM
ARS01,33H420100706,,2010-07-06 to 2010-07-06,K. Lew,BM
ARS01,33H420100722,Atlantic Explorer,2010-07-22 to 2010-07-27,Rod Johnson, Steve Pike, J. Valdes, Lija Treiberg, Samuel Dresner,BM
ARS01,33H420100727,,2010-07-27 to 2010-07-27,Rod Johnson,BM
ARS01,33H420100811,,2010-08-11 to 2010-08-11,Steve Bell,BM
